mandi,latitude,longitude
Naharlagun,27.1308555,93.709712
Howly,26.4249628,90.9712027
Gauripur,26.0865358,89.964662
Dibrugarh,27.4844597,94.9019447
P.O. Uparhali Guwahati,,
Dhing,26.4449658,92.5268228
Mapusa,15.590853,73.8102146
Ahmedabad(Chimanbhai Patal Market Vasana),,
Khambhat(Veg Yard Khambhat),,
Deesa(Deesa Veg Yard),,
Bhavnagar,21.7718836,72.1416449
Mahuva(Station Road),21.0943917,71.7568456
Dahod(Veg. Market),,
Jamnagar,22.4732415,70.0552102
Visavadar,21.3417058,70.7534299
Nadiyad(Piplag),,
Mehsana(Mehsana Veg),,
Morbi,22.8003959,70.886232
Gondal,21.9575096,70.8009896
Rajkot(Veg.Sub Yard),,
Surat,21.1923647,72.9551023
Padra,22.2412214,73.0855259
Vadodara(Sayajipura),,
Ambala City,30.3780749,76.7646449
Barara,30.2423627,77.0460519
Naraingarh,30.445576,77.1256318
Shahzadpur,30.446413,77.0334204
Bhiwani,28.7931703,76.1391283
Ch. Dadri,28.5848609,77.3601866
Faridabad,28.4031478,77.3105561
Farukh Nagar,28.4474356,76.8262064
Gurgaon,28.4646148,77.0299194
Barwala(Hisar),29.350185,75.9381712
Narnaund,29.2607774,76.11465
Jind,29.3152073,76.314082
Narwana,29.5830598,76.0754066
Dhand,25.3980258,78.3188856
Siwan,26.131008,84.3910745
Asandh,29.5212674,76.603457
Gharaunda,29.5394114,76.9388937
Iamailabad,,
Ladwa,30.0346232,77.0485926
Shahabad,17.1219321,76.9433966
Thanesar,29.9930395,76.8292228
Mohindergarh,,
Narnaul,28.0438456,76.1062015
Hassanpur,28.0173749,77.4512004
Barwala,29.350185,75.9381712
Panchkul(Kalka),,
Bapauli,,
Rewari,28.1956468,76.6165179
Meham,28.9674025,76.2953562
Sampla,28.8192189,76.7609033
Sirsa,29.6063041,74.9036568
kalanwali,29.8223647,74.9343591
Ganaur,29.137835,77.0202921
Gohana,29.1189405,76.6705443
Sonepat,28.99197,77.0342633
Chhachrauli,,
Jagadhri,30.1532045,77.3011957
Mustafabad,29.6436099,77.1079093
Radaur,30.0434068,77.1854441
Sadhaura,30.416175,77.224979
Yamuna Nagar,8.5502244,76.987407
Bilaspur,22.1638486,82.1365923
Chamba,32.6923316,76.1631552
Hamirpur,25.75,80.0
Hamirpur(Nadaun),31.7665802,76.3606064
Kangra,32.0768665,76.2985872
Bhuntar,32.0030576,77.4794713
Kullu,31.9578974,77.1089232
Dhanotu (Mandi),31.5461,76.9087
Paonta Sahib,30.4384439,77.6211774
Solan,30.9077569,77.1023645
Una,31.5834642,76.2351452
Narwal Jammu (F&V),32.6766223,74.8843514
Parimpore,,
Giridih,24.3314546,86.1548117
Bangalore,12.9767936,77.590082
