Mandi,Weighted Degree,Betweenness Centrality,Clustering Coefficient
Raibareilly,1188.694753023497,0.0,0.5416003432208969
Unnao,1187.491098356316,0.0,0.5426628763526942
Muzzafarnagar,1183.9488891565238,0.0,0.5477654583744452
Saharanpur,1182.4690360944528,0.0,0.5514654824057007
Azamgarh,1180.9795415644357,0.0,0.5459363574399686
Shamli,1180.8007190659937,0.0,0.5490336175885567
Akbarpur,1178.8331721314216,0.8231852315394242,0.5469283080758048
Ajuha,1177.8731815057122,0.9304881101376721,0.5458344677171817
Sultanpur,1177.6965308220572,0.0,0.5425350254284713
Basti,1177.1717622374563,0.0,0.5490892974337951
Barwala,1177.1634028897736,0.0,0.5467439593793203
Bahraich,1176.2785321233898,0.15107008760951188,0.5446499692155387
Auraiya,1176.0406357899315,0.006539424280350438,0.5396739998695231
Lucknow,1175.994852732947,0.0,0.5501350458697206
Gorakhpur,1174.3249435925052,0.0,0.5444459067532952
Meerut,1174.1289229849424,0.0,0.5507928382309771
Bangarmau,1173.8563614726606,0.014317897371714643,0.5473066427061621
Madhoganj,1172.2679021250324,0.0,0.5388604869117137
Dadri,1172.1590278892822,0.7859574468085107,0.543083481672159
Gazipur,1171.4415921586797,0.0,0.5479964452227145
Uluberia,1170.6075533833382,0.0,0.5469829538623125
Devariya,1170.395002169247,0.0,0.5417265288309513
Mehmoodabad,1168.7073828458285,0.0,0.5502118696471674
Jahangirabad,1168.4209098835368,0.0,0.5442611540929602
Buland Shahr,1167.278764687022,0.0,0.5515795319074548
Sitapur,1167.1990374649872,0.0,0.5459574132283219
Shahabad(New Mandi),1167.0187758450418,0.7676470588235293,0.5490832993989528
Fatehpur,1166.442226075125,0.0,0.542035775632869
Jasra,1164.1351051184956,0.0,0.5349324777066986
Pukharayan,1162.5008769164874,0.0,0.5348550510576832
Barabanki,1162.3684222314755,0.0,0.5415154611893489
Bilsi,1161.793344582263,0.0,0.5297472763897728
Chandoli,1161.6864410326616,0.11680225281602002,0.5372246983991646
Bindki,1160.921011580103,0.3711389236545682,0.5417209909267627
Jafarganj,1160.0592305320304,0.0,0.5411387618111797
Etah,1159.5704397743432,0.0,0.5447981749026325
